Configuration,TTD_mean,TTD_std,TCAR_mean,TCAR_std,RACP_mean,pass_at_mean,SCS_mean,SCS_std,n
TASDF,45.3125,5.083091230314109,0.8814185260570131,0.031249114019096857,0.8,0.9958333333333332,0.8400309060395955,0.004752843145312207,80
Static multi-layer honeynet,86.1375,20.217014860592496,0.9011638075151016,0.03219791343033241,0.8,0.9958333333333332,0.8746000390390651,0.021696222534411714,80
Reactive stage-aware,29.0625,6.788567735445687,0.8472528859681191,0.04036962627303575,0.8,1.0,0.8711000193190653,0.029438493027970147,80
Local artefact generation,86.1375,20.217014860592496,0.5833817480664877,0.055828609785502525,0.8,1.0,0.5667028764223356,0.07494149887129159,80
Non-belief adaptive allocation,86.1375,20.217014860592496,0.5820453835984265,0.05607523796448306,0.8,1.0,0.5393737494598667,0.06459253026293817,80
No-Belief,86.1375,20.217014860592496,0.9009607063308316,0.029729115401955632,0.8,1.0,0.8796000352790653,0.019960497464389274,80
No-Consistency,47.5375,3.416059429418121,0.5909665918308284,0.04577131607171366,0.8,1.0,0.5487350980832739,0.007549433339078876,80
No-Inconsistency,86.1375,20.217014860592496,0.8896280883535808,0.03758530840843627,0.8,1.0,0.841970646793364,0.0045450878966131186,80
Single-Layer,46.6,3.0339847216390594,0.5873735701104732,0.042412387587112216,0.8,1.0,0.5491842014655826,0.008534548769633155,80
Static Threshold,10.2,0.8627304315186488,0.8897856998094695,0.036471219309398374,0.8,1.0,0.8398705895360836,0.004344284975760123,80
